kwalletmanager 26.04.2-1.1
kwayland 6.7.1-1.1
kwidgetsaddons 6.27.0-1.1
kwidgetsaddons5 5.116.0-2.1
kwin 6.7.1-1.1
kwindowsystem 6.27.0-1.1
kwindowsystem5 5.116.0-2.1
kxmlgui 6.27.0-1.1
kxmlgui5 5.116.0-2.1
l-smash 2.14.5-4.1
ladspa 1.17-7.1
lame 3.101.r6531-1.1
lapack 3.12.1-2.1
layer-shell-qt 6.7.1-1.1
layer-shell-qt5 5.27.12-2
lazydocker 0.25.2-1.1
lazygit 0.62.2-1.1
lcms2 2.19.1-1.1
ldb 2:4.24.3-1.1
leancrypto 1.7.2-1.1
leptonica 1.87.0-1.1
less 1:704-1.1
level-zero-loader 1.28.2-1
lib32-acl 2.3.2-2
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.60.4-1
lib32-attr 2.5.2-2
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.20.0-7
lib32-dbus 1.16.2-1
lib32-dbus-glib 0.114-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.1-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.18.1-1
lib32-freeglut 3.8.0-1.1
lib32-freetype2 2.14.3-1
lib32-fribidi 1.0.16-2
lib32-gcc-libs 16.1.1+r12+g301eb08fa2c5-2
lib32-gdk-pixbuf2 2.44.6-2
lib32-gettext 1.0-1
lib32-giflib 6.1.3-1
lib32-glew 2.3.1-1
lib32-glib2 2.88.1-1
lib32-glibc 2.43+r22+g8362e8ce10b2-4
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-gtk3 1:3.24.52-1
lib32-harfbuzz 14.2.1-1
lib32-icu 78.3-1
lib32-imlib2 1.12.6-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-lcms2 2.17-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libcaca 0.99.beta20-2
lib32-libcanberra 1:0.30+r2+gc0620e4-4
lib32-libcups 2.4.19-1
lib32-libdatrie 0.2.13-3
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
